,fn,cat
0,000001.jpg,[ 11   7 497 351]
1,000002.jpg,[199 138 300 206]
2,000003.jpg,[154 122 194 214]
3,000004.jpg,[329 361 388 499]
4,000006.jpg,[208 153 374 368]
5,000008.jpg,[ 15 191 248 363]
6,000010.jpg,[ 96  86 426 257]
7,000011.jpg,[ 50 125 307 329]
8,000013.jpg,[159 298 251 445]
9,000014.jpg,[193 184 315 499]
10,000015.jpg,[135  76 357 359]
11,000018.jpg,[ 29  30 278 357]
12,000022.jpg,[102  67 282 367]
13,000025.jpg,[  1 319 374 495]
14,000027.jpg,[100 173 350 348]
15,000028.jpg,[ 17  62 499 373]
16,000029.jpg,[ 62  55 289 283]
17,000031.jpg,[ 76  40 254 429]
18,000037.jpg,[ 95  60 338 463]
19,000038.jpg,[110 191 239 260]
20,000040.jpg,[ 51   0 289 383]
21,000043.jpg,[  5  18 499 322]
22,000045.jpg,[ 63 279 251 482]
23,000049.jpg,[130 177 226 355]
24,000053.jpg,[ 11  35 261 424]
25,000054.jpg,[ 53  23 291 471]
26,000055.jpg,[131 208 221 274]
27,000056.jpg,[ 59 164 333 386]
28,000057.jpg,[ 52 132 357 384]
29,000058.jpg,[108  28 374 358]
30,000059.jpg,[209 109 499 327]
31,000062.jpg,[187  57 309 270]
32,000067.jpg,[ 71  43 209 449]
33,000068.jpg,[ 44  26 374 265]
34,000069.jpg,[ 63  18 189 423]
35,000070.jpg,[155 312 197 357]
36,000071.jpg,[ 74  60 273 442]
37,000074.jpg,[ 60  57 282 474]
38,000075.jpg,[ 82 101 347 221]
39,000076.jpg,[ 77  62 374 264]
40,000079.jpg,[ 52   0 356 389]
41,000080.jpg,[215 397 305 420]
42,000082.jpg,[ 92  21 297 492]
43,000084.jpg,[181 155 280 331]
44,000085.jpg,[ 69  21 326 253]
45,000086.jpg,[130 307 172 355]
46,000087.jpg,[165 119 203 317]
47,000088.jpg,[  6 122 364 499]
48,000090.jpg,[ 32  32 254 306]
49,000092.jpg,[ 65   1 332 412]
50,000094.jpg,[  0  15 332 499]
51,000096.jpg,[108 139 499 329]
52,000097.jpg,[219   0 374 155]
53,000098.jpg,[ 69  68 161 316]
54,000100.jpg,[ 46   2 221 431]
55,000103.jpg,[233  25 264  84]
56,000105.jpg,[  0  21 313 319]
57,000106.jpg,[ 95 180 251 367]
58,000108.jpg,[ 58   0 374 499]
59,000111.jpg,[269 414 374 499]
60,000114.jpg,[ 63 157 364 431]
61,000115.jpg,[218   0 436 246]
62,000116.jpg,[188  43 358 322]
63,000119.jpg,[ 95 106 347 308]
64,000124.jpg,[ 14  77 374 477]
65,000126.jpg,[181  77 214 258]
66,000127.jpg,[ 20  67 374 370]
67,000128.jpg,[116  52 230 457]
68,000135.jpg,[193 207 258 331]
69,000136.jpg,[204 330 266 406]
70,000137.jpg,[429  95 481 163]
71,000139.jpg,[123 113 274 261]
72,000144.jpg,[  7 343 332 499]
73,000145.jpg,[ 87  51 290 379]
74,000148.jpg,[111 130 311 464]
75,000149.jpg,[  1 113 360 350]
76,000151.jpg,[ 48   3 439 374]
77,000152.jpg,[ 81 115 284 404]
78,000155.jpg,[287 222 418 304]
79,000157.jpg,[ 34  33 265 399]
80,000160.jpg,[241   1 372 335]
81,000166.jpg,[162  47 333 228]
82,000167.jpg,[ 17  26 373 477]
83,000168.jpg,[122 103 470 200]
84,000172.jpg,[ 53  28 320 455]
85,000175.jpg,[ 33  24 270 418]
86,000176.jpg,[134  40 287 147]
87,000178.jpg,[  3 379 209 499]
88,000179.jpg,[ 28  84 492 300]
89,000181.jpg,[148   0 374 297]
90,000182.jpg,[  3   4 372 499]
91,000183.jpg,[  1  76 337 499]
92,000185.jpg,[238 238 377 337]
93,000186.jpg,[ 48  57 361 283]
94,000188.jpg,[ 87  88 199 499]
95,000191.jpg,[180  28 498 146]
96,000195.jpg,[ 14   5 372 481]
97,000196.jpg,[160  74 297 169]
98,000197.jpg,[ 55  34 258 465]
99,000199.jpg,[ 67  81 269 382]
100,000201.jpg,[134 255 313 377]
101,000202.jpg,[  7   0 374 334]
102,000204.jpg,[ 65 210 173 326]
103,000205.jpg,[198   0 456 373]
104,000206.jpg,[348  88 499 188]
105,000212.jpg,[ 81   1 331 197]
106,000213.jpg,[ 68  99 293 311]
107,000216.jpg,[169 233 223 283]
108,000217.jpg,[183 132 332 408]
109,000223.jpg,[ 84 155 289 340]
110,000226.jpg,[241 110 374 376]
111,000227.jpg,[122 219 353 472]
112,000230.jpg,[166 161 356 396]
113,000231.jpg,[109  86 205 277]
114,000234.jpg,[ 91 306 325 471]
115,000237.jpg,[ 46  54 331 386]
116,000238.jpg,[  0   0 372 292]
117,000239.jpg,[ 25  62 218 467]
118,000240.jpg,[174 262 233 437]
119,000243.jpg,[126 180 192 273]
120,000247.jpg,[ 50 113 373 272]
121,000248.jpg,[ 89 103 272 312]
122,000252.jpg,[ 53 146 223 282]
123,000253.jpg,[ 54 107 227 349]
124,000254.jpg,[238 196 332 474]
125,000255.jpg,[  1   1 331 418]
126,000258.jpg,[ 26 349 332 499]
127,000260.jpg,[ 49  54 234 455]
128,000261.jpg,[ 75   0 325 404]
129,000264.jpg,[ 81   1 499 332]
130,000265.jpg,[  7 166 143 362]
131,000267.jpg,[ 85  79 499 331]
132,000271.jpg,[181 413 236 483]
133,000272.jpg,[ 70  24 499 303]
134,000273.jpg,[148 234 183 303]
135,000274.jpg,[ 99  48 302 406]
136,000277.jpg,[103  13 320 478]
137,000279.jpg,[185  74 364 212]
138,000280.jpg,[152 244 374 499]
139,000281.jpg,[ 92  46 253 435]
140,000283.jpg,[109 332 420 455]
141,000284.jpg,[ 77 200 255 439]
