,fn,target
0,000001.jpg,"(array([ 11,   7, 497, 351]), 15)"
1,000002.jpg,"(array([199, 138, 300, 206]), 19)"
2,000003.jpg,"(array([154, 122, 194, 214]), 18)"
3,000004.jpg,"(array([329, 361, 388, 499]), 7)"
4,000006.jpg,"(array([208, 153, 374, 368]), 11)"
5,000008.jpg,"(array([ 15, 191, 248, 363]), 9)"
6,000010.jpg,"(array([ 96,  86, 426, 257]), 13)"
7,000011.jpg,"(array([ 50, 125, 307, 329]), 8)"
8,000013.jpg,"(array([159, 298, 251, 445]), 10)"
9,000014.jpg,"(array([193, 184, 315, 499]), 7)"
10,000015.jpg,"(array([135,  76, 357, 359]), 2)"
11,000018.jpg,"(array([ 29,  30, 278, 357]), 12)"
12,000022.jpg,"(array([102,  67, 282, 367]), 13)"
13,000025.jpg,"(array([  1, 319, 374, 495]), 15)"
14,000027.jpg,"(array([100, 173, 350, 348]), 15)"
15,000028.jpg,"(array([ 17,  62, 499, 373]), 8)"
16,000029.jpg,"(array([ 62,  55, 289, 283]), 12)"
17,000031.jpg,"(array([ 76,  40, 254, 429]), 19)"
18,000037.jpg,"(array([ 95,  60, 338, 463]), 12)"
19,000038.jpg,"(array([110, 191, 239, 260]), 15)"
20,000040.jpg,"(array([ 51,   0, 289, 383]), 3)"
21,000043.jpg,"(array([  5,  18, 499, 322]), 15)"
22,000045.jpg,"(array([ 63, 279, 251, 482]), 20)"
23,000049.jpg,"(array([130, 177, 226, 355]), 8)"
24,000053.jpg,"(array([ 11,  35, 261, 424]), 8)"
25,000054.jpg,"(array([ 53,  23, 291, 471]), 6)"
26,000055.jpg,"(array([131, 208, 221, 274]), 14)"
27,000056.jpg,"(array([ 59, 164, 333, 386]), 13)"
28,000057.jpg,"(array([ 52, 132, 357, 384]), 3)"
29,000058.jpg,"(array([108,  28, 374, 358]), 14)"
30,000059.jpg,"(array([209, 109, 499, 327]), 15)"
31,000062.jpg,"(array([187,  57, 309, 270]), 17)"
32,000067.jpg,"(array([ 71,  43, 209, 449]), 1)"
33,000068.jpg,"(array([ 44,  26, 374, 265]), 3)"
34,000069.jpg,"(array([ 63,  18, 189, 423]), 4)"
35,000070.jpg,"(array([155, 312, 197, 357]), 16)"
36,000071.jpg,"(array([ 74,  60, 273, 442]), 7)"
37,000074.jpg,"(array([ 60,  57, 282, 474]), 7)"
38,000075.jpg,"(array([ 82, 101, 347, 221]), 12)"
39,000076.jpg,"(array([ 77,  62, 374, 264]), 15)"
40,000079.jpg,"(array([ 52,   0, 356, 389]), 12)"
41,000080.jpg,"(array([215, 397, 305, 420]), 4)"
42,000082.jpg,"(array([ 92,  21, 297, 492]), 7)"
43,000084.jpg,"(array([181, 155, 280, 331]), 11)"
44,000085.jpg,"(array([ 69,  21, 326, 253]), 15)"
45,000086.jpg,"(array([130, 307, 172, 355]), 12)"
46,000087.jpg,"(array([165, 119, 203, 317]), 19)"
47,000088.jpg,"(array([  6, 122, 364, 499]), 19)"
48,000090.jpg,"(array([ 32,  32, 254, 306]), 15)"
49,000092.jpg,"(array([ 65,   1, 332, 412]), 8)"
50,000094.jpg,"(array([  0,  15, 332, 499]), 14)"
51,000096.jpg,"(array([108, 139, 499, 329]), 15)"
52,000097.jpg,"(array([219,   0, 374, 155]), 9)"
53,000098.jpg,"(array([ 69,  68, 161, 316]), 8)"
54,000100.jpg,"(array([ 46,   2, 221, 431]), 19)"
55,000103.jpg,"(array([233,  25, 264,  84]), 7)"
56,000105.jpg,"(array([  0,  21, 313, 319]), 4)"
57,000106.jpg,"(array([ 95, 180, 251, 367]), 3)"
58,000108.jpg,"(array([ 58,   0, 374, 499]), 18)"
59,000111.jpg,"(array([269, 414, 374, 499]), 15)"
60,000114.jpg,"(array([ 63, 157, 364, 431]), 8)"
61,000115.jpg,"(array([218,   0, 436, 246]), 3)"
62,000116.jpg,"(array([188,  43, 358, 322]), 18)"
63,000119.jpg,"(array([ 95, 106, 347, 308]), 8)"
64,000124.jpg,"(array([ 14,  77, 374, 477]), 15)"
65,000126.jpg,"(array([181,  77, 214, 258]), 11)"
66,000127.jpg,"(array([ 20,  67, 374, 370]), 15)"
67,000128.jpg,"(array([116,  52, 230, 457]), 1)"
68,000135.jpg,"(array([193, 207, 258, 331]), 7)"
69,000136.jpg,"(array([204, 330, 266, 406]), 8)"
70,000137.jpg,"(array([429,  95, 481, 163]), 7)"
71,000139.jpg,"(array([123, 113, 274, 261]), 2)"
72,000144.jpg,"(array([  7, 343, 332, 499]), 15)"
73,000145.jpg,"(array([ 87,  51, 290, 379]), 19)"
74,000148.jpg,"(array([111, 130, 311, 464]), 3)"
75,000149.jpg,"(array([  1, 113, 360, 350]), 16)"
76,000151.jpg,"(array([ 48,   3, 439, 374]), 15)"
77,000152.jpg,"(array([ 81, 115, 284, 404]), 7)"
78,000155.jpg,"(array([287, 222, 418, 304]), 2)"
79,000157.jpg,"(array([ 34,  33, 265, 399]), 9)"
